City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,husavik,66.0449,-17.3389,4.25,91,100,5.73,IS,"01/21/2023,00:00:52"
172,ilebo,-4.3167,20.5833,21.85,96,100,0.23,CD,"01/21/2023,00:00:53"
173,anadyr,64.75,177.4833,-32.72,74,20,5.0,RU,"01/21/2023,00:00:54"
174,latung,5.5,120.8833,27.5,76,92,2.6,PH,"01/21/2023,00:00:54"
175,namatanai,-3.6667,152.4333,28.7,73,98,1.97,PG,"01/21/2023,00:00:55"
176,nchelenge,-9.3451,28.734,20.74,88,100,2.81,ZM,"01/21/2023,00:01:55"
177,shingu,33.7333,135.9833,4.44,53,3,3.04,JP,"01/21/2023,00:01:56"
178,san policarpo,12.1791,125.5072,26.44,85,97,8.06,PH,"01/21/2023,00:01:56"
179,komsomolets,53.7453,62.0708,-14.92,81,65,2.47,KZ,"01/21/2023,00:01:57"
180,sao filipe,14.8961,-24.4956,21.92,69,2,6.21,CV,"01/21/2023,00:01:57"
181,medicine hat,50.0501,-110.6683,-0.99,76,100,1.34,CA,"01/21/2023,00:01:58"
182,cam ranh,11.9214,109.1591,23.98,73,75,6.69,VN,"01/21/2023,00:01:58"
183,pundaguitan,6.3711,126.1689,26.55,79,100,6.42,PH,"01/21/2023,00:01:59"
184,broome,42.2506,-75.833,2.61,90,100,3.09,US,"01/21/2023,00:01:59"
185,flin flon,54.7682,-101.865,-9.47,97,41,2.34,CA,"01/21/2023,00:02:00"
186,braganca paulista,-22.94,-46.5556,17.26,97,95,1.45,BR,"01/21/2023,00:02:00"
187,ibra,22.6906,58.5334,13.88,75,0,1.95,OM,"01/21/2023,00:02:00"
188,kamenka,51.3223,42.7678,-6.37,80,100,6.2,RU,"01/21/2023,00:02:01"
189,west richland,46.3043,-119.3614,6.28,72,47,1.34,US,"01/20/2023,23:59:26"
190,maceio,-9.6658,-35.7353,25.76,77,77,4.28,BR,"01/21/2023,00:00:05"
191,butaritari,3.0707,172.7902,27.56,74,52,7.12,KI,"01/21/2023,00:02:02"
192,saint-maximin-la-sainte-baume,43.4521,5.8622,2.88,58,0,3.0,FR,"01/21/2023,00:02:03"
193,isangel,-19.55,169.2667,27.53,73,98,4.11,VU,"01/21/2023,00:02:03"
194,sakakah,29.9697,40.2064,12.76,59,22,3.08,SA,"01/20/2023,23:57:07"
195,guanare,9.0418,-69.7421,24.01,60,36,2.57,VE,"01/21/2023,00:02:04"
196,ariquemes,-9.9133,-63.0408,22.15,98,86,1.47,BR,"01/21/2023,00:02:04"
197,amapa,1.0,-52.0,22.09,99,90,1.3,BR,"01/21/2023,00:02:05"
198,chuhar kana,31.75,73.8,7.34,92,79,3.03,PK,"01/21/2023,00:02:05"
199,sibolga,1.7427,98.7792,23.46,89,93,1.58,ID,"01/21/2023,00:02:06"
200,acarau,-2.8856,-40.12,26.11,79,99,5.12,BR,"01/21/2023,00:02:06"
201,cherskiy,68.75,161.3,-39.71,100,96,1.12,RU,"01/21/2023,00:02:07"
202,torbay,47.6666,-52.7314,0.88,94,100,6.26,CA,"01/21/2023,00:02:07"
203,dingle,10.9995,122.6711,24.67,90,100,3.75,PH,"01/21/2023,00:02:08"
204,half moon bay,37.4636,-122.4286,13.57,44,0,6.17,US,"01/20/2023,23:57:41"
205,calbuco,-41.768,-73.1273,17.33,82,67,2.6,CL,"01/21/2023,00:02:08"
206,tiksi,71.6872,128.8694,-31.17,95,78,1.76,RU,"01/21/2023,00:02:09"
207,san carlos de bariloche,-41.1456,-71.3082,15.69,63,7,4.48,AR,"01/21/2023,00:02:09"
208,puerto carreno,6.189,-67.4859,29.42,41,83,4.86,CO,"01/21/2023,00:02:10"
209,chiang klang,19.2938,100.8617,15.63,85,9,0.35,TH,"01/21/2023,00:02:10"
210,aklavik,68.2191,-135.0107,-29.76,100,83,0.52,CA,"01/21/2023,00:02:11"
211,bratsk,56.1325,101.6142,-42.59,98,92,1.83,RU,"01/21/2023,00:02:11"
212,lar,26.2039,83.9717,11.44,66,29,2.25,IN,"01/21/2023,00:02:12"
213,peterhead,57.5058,-1.7981,2.22,80,48,8.59,GB,"01/21/2023,00:02:12"
214,heiligenhafen,54.3667,10.9833,2.64,90,97,3.01,DE,"01/21/2023,00:02:13"
215,nantucket,41.2835,-70.0995,4.06,93,100,4.63,US,"01/20/2023,23:58:55"
216,talaya,61.3833,152.75,-32.08,97,100,2.33,RU,"01/21/2023,00:02:14"
217,impfondo,1.6381,18.0667,21.98,42,68,1.52,CG,"01/21/2023,00:02:14"
218,constitucion,-35.3333,-72.4167,15.36,81,3,5.67,CL,"01/21/2023,00:02:15"
219,kavieng,-2.5744,150.7967,28.6,73,100,3.13,PG,"01/21/2023,00:02:15"
220,tripoli,32.8752,13.1875,12.81,50,7,7.1,LY,"01/20/2023,23:58:55"
221,micheweni,-4.9667,39.8333,27.23,81,92,6.18,TZ,"01/21/2023,00:02:16"
222,miram shah,33.0086,70.0697,5.01,77,96,3.11,PK,"01/21/2023,00:03:17"
223,chiang rai,19.9167,99.9167,15.32,98,6,0.53,TH,"01/21/2023,00:03:17"
224,port macquarie,-31.4333,152.9167,24.94,52,80,3.54,AU,"01/21/2023,00:03:18"
225,nuuk,64.1835,-51.7216,-15.07,77,15,5.81,GL,"01/21/2023,00:00:51"
226,mehamn,71.0357,27.8492,2.97,75,75,8.75,NO,"01/21/2023,00:03:19"
227,roma,43.2128,-75.4557,0.4,94,100,3.6,US,"01/21/2023,00:03:19"
228,north bend,43.4065,-124.2243,11.71,100,5,3.68,US,"01/20/2023,23:58:49"
229,two hills,53.7169,-111.7518,-3.79,88,76,3.52,CA,"01/21/2023,00:03:20"
